timestamp,email,emailsubj,tags,emailreply,source,latitude,longitude
2014-01-06 08:39,Sven.Flecha%40gastech.com.kronos,GT%2dSeismicProcessorPro+Bug+Report,emaildst=Isak.Baza%40gastech.com.kronos|emaildst=Lucas.Alcazar%40gastech.com.kronos,false,email,36.04802977,24.87957546
2014-01-06 08:58,Kanon.Herrero%40gastech.com.kronos,Inspection+request+for+site,emaildst=Felix.Resumir%40gastech.com.kronos|emaildst=Hideki.Cocinaro%40gastech.com.kronos|emaildst=Inga.Ferro%40gastech.com.kronos|emaildst=Varja.Lagos%40gastech.com.kronos|emaildst=Kanon.Herrero%40gastech.com.kronos|emaildst=Stenig.Fusil%40gastech.com.kronos|emaildst=Hennie.Osvaldo%40gastech.com.kronos|emaildst=Isia.Vann%40gastech.com.kronos|emaildst=Edvard.Vann%40gastech.com.kronos|emaildst=Loreto.Bodrogi%40gastech.com.kronos,false,email,36.04802126,24.87956542
2014-01-06 09:28,Bertrand.Ovan%40gastech.com.kronos,New+refueling+policies+%2d+Effective+February+1,emaildst=Emile.Arpa%40gastech.com.kronos|emaildst=Varro.Awelon%40gastech.com.kronos|emaildst=Dante.Coginian%40gastech.com.kronos|emaildst=Albina.Hafon%40gastech.com.kronos|emaildst=Benito.Hawelon%40gastech.com.kronos|emaildst=Claudio.Hawelon%40gastech.com.kronos|emaildst=Henk.Mies%40gastech.com.kronos|emaildst=Valeria.Morlun%40gastech.com.kronos|emaildst=Adan.Morlun%40gastech.com.kronos|emaildst=Cecilia.Morluniau%40gastech.com.kronos|emaildst=Irene.Nant%40gastech.com.kronos|emaildst=Dylan.Scozzese%40gastech.com.kronos,false,email,36.0480225,24.87957455
2014-01-06 09:38,Valeria.Morlun%40gastech.com.kronos,Route+suggestion+for+next+shift,emaildst=Dante.Coginian%40gastech.com.kronos|emaildst=Albina.Hafon%40gastech.com.kronos|emaildst=Benito.Hawelon%40gastech.com.kronos|emaildst=Henk.Mies%40gastech.com.kronos,false,email,,
2014-01-06 09:49,Mat.Bramar%40gastech.com.kronos,Upcoming+birthdays,emaildst=Rachel.Pantanal%40gastech.com.kronos|emaildst=Lars.Azada%40gastech.com.kronos|emaildst=Felix.Balas%40gastech.com.kronos|emaildst=Isande.Borrasca%40gastech.com.kronos|emaildst=Axel.Calzas%40gastech.com.kronos|emaildst=Gustav.Cazar%40gastech.com.kronos|emaildst=Lidelse.Dedos%40gastech.com.kronos|emaildst=Birgitta.Frente%40gastech.com.kronos|emaildst=Vira.Frente%40gastech.com.kronos|emaildst=Adra.Nubarron%40gastech.com.kronos|emaildst=Marin.Onda%40gastech.com.kronos|emaildst=Kare.Orilla%40gastech.com.kronos|emaildst=Elsa.Orilla%40gastech.com.kronos|emaildst=Brand.Tempestad%40gastech.com.kronos|emaildst=Ingrid.Barranco%40gastech.com.kronos|emaildst=Ada.Campo%2dCorrente%40gastech.com.kronos|emaildst=Sten.Sanjorge+Jr.%40gastech.com.kronos|emaildst=Orhan.Strum%40gastech.com.kronos|emaildst=Willem.Vasco%2dPais%40gastech.com.kronos|emaildst=Bertrand.Ovan%40gastech.com.kronos|emaildst=Albina.Hafon%40gastech.com.kronos|emaildst=Benito.Hawelon%40gastech.com.kronos|emaildst=Claudio.Hawelon%40gastech.com.kronos|emaildst=Henk.Mies%40gastech.com.kronos|emaildst=Valeria.Morlun%40gastech.com.kronos|emaildst=Adan.Morlun%40gastech.com.kronos|emaildst=Cecilia.Morluniau%40gastech.com.kronos|emaildst=Irene.Nant%40gastech.com.kronos|emaildst=Dylan.Scozzese%40gastech.com.kronos|emaildst=Lucas.Alcazar%40gastech.com.kronos|emaildst=Isak.Baza%40gastech.com.kronos|emaildst=Linnea.Bergen%40gastech.com.kronos|emaildst=Nils.Calixto%40gastech.com.kronos|emaildst=Sven.Flecha%40gastech.com.kronos|emaildst=Hideki.Cocinaro%40gastech.com.kronos|emaildst=Inga.Ferro%40gastech.com.kronos|emaildst=Loreto.Bodrogi%40gastech.com.kronos|emaildst=Isia.Vann%40gastech.com.kronos|emaildst=Stenig.Fusil%40gastech.com.kronos|emaildst=Hennie.Osvaldo%40gastech.com.kronos|emaildst=Kanon.Herrero%40gastech.com.kronos|emaildst=Varja.Lagos%40gastech.com.kronos|emaildst=Minke.Mies%40gastech.com.kronos|emaildst=Felix.Resumir%40gastech.com.kronos|emaildst=Edvard.Vann%40gastech.com.kronos|emaildst=Emile.Arpa%40gastech.com.kronos|emaildst=Varro.Awelon%40gastech.com.kronos|emaildst=Mat.Bramar%40gastech.com.kronos|emaildst=Dante.Coginian%40gastech.com.kronos|emaildst=Carla.Forluniau%40gastech.com.kronos|emaildst=Linda.Lagos%40gastech.com.kronos|emaildst=Cornelia.Lais%40gastech.com.kronos|emaildst=Ruscella.Mies.Haber%40gastech.com.kronos|emaildst=Anda.Ribera%40gastech.com.kronos,false,email,,
2014-01-06 10:01,Bertrand.Ovan%40gastech.com.kronos,Don%27t+text+and+drive%21,emaildst=Emile.Arpa%40gastech.com.kronos|emaildst=Varro.Awelon%40gastech.com.kronos|emaildst=Dante.Coginian%40gastech.com.kronos|emaildst=Albina.Hafon%40gastech.com.kronos|emaildst=Benito.Hawelon%40gastech.com.kronos|emaildst=Claudio.Hawelon%40gastech.com.kronos|emaildst=Henk.Mies%40gastech.com.kronos|emaildst=Valeria.Morlun%40gastech.com.kronos|emaildst=Adan.Morlun%40gastech.com.kronos|emaildst=Cecilia.Morluniau%40gastech.com.kronos|emaildst=Irene.Nant%40gastech.com.kronos|emaildst=Dylan.Scozzese%40gastech.com.kronos,false,email,36.0480225,24.87957455
2014-01-06 10:25,Orhan.Strum%40gastech.com.kronos,Service+anniversary,emaildst=Stenig.Fusil%40gastech.com.kronos,false,email,36.04802267,24.87957548
2014-01-06 10:28,Varja.Lagos%40gastech.com.kronos,Patrol+schedule+changes,emaildst=Varja.Lagos%40gastech.com.kronos|emaildst=Hennie.Osvaldo%40gastech.com.kronos|emaildst=Loreto.Bodrogi%40gastech.com.kronos|emaildst=Inga.Ferro%40gastech.com.kronos,false,email,36.04803128,24.87957472
2014-01-06 10:35,Brand.Tempestad%40gastech.com.kronos,Wellhead+flow+rate+data,emaildst=Birgitta.Frente%40gastech.com.kronos|emaildst=Lars.Azada%40gastech.com.kronos|emaildst=Felix.Balas%40gastech.com.kronos,false,email,36.04802645,24.87957645
2014-01-06 10:43,Isak.Baza%40gastech.com.kronos,GT%2dSeismicProcessorPro+Bug+Report,emaildst=Isak.Baza%40gastech.com.kronos|emaildst=Lucas.Alcazar%40gastech.com.kronos,true,email,36.04802567,24.87957196
