timestamp,email,lastname,firstname,price,CENTS,location,source
2014-01-06 00:00:00,Cornelia.Lais%40gastech.com.kronos,Lais,Cornelia,4.17,417,Brew%27ve+Been+Served,loyalty_data.csv
2014-01-06 00:00:00,Mat.Bramar%40gastech.com.kronos,Bramar,Mat,9.6,960,Brew%27ve+Been+Served,loyalty_data.csv
2014-01-06 00:00:00,Emile.Arpa%40gastech.com.kronos,Arpa,Emile,16.53,1653,Hallowed+Grounds,loyalty_data.csv
2014-01-06 00:00:00,Varro.Awelon%40gastech.com.kronos,Awelon,Varro,11.51,1151,Coffee+Shack,loyalty_data.csv
2014-01-06 00:00:00,Rachel.Pantanal%40gastech.com.kronos,Pantanal,Rachel,12.93,1293,Hallowed+Grounds,loyalty_data.csv
2014-01-06 00:00:00,Ruscella.Mies.Haber%40gastech.com.kronos,Mies Haber,Ruscella,4.27,427,Brew%27ve+Been+Served,loyalty_data.csv
2014-01-06 00:00:00,Linda.Lagos%40gastech.com.kronos,Lagos,Linda,11.2,1120,Brew%27ve+Been+Served,loyalty_data.csv
2014-01-06 00:00:00,Dante.Coginian%40gastech.com.kronos,Coginian,Dante,15.39,1539,Brew%27ve+Been+Served,loyalty_data.csv
2014-01-06 00:00:00,Carla.Forluniau%40gastech.com.kronos,Forluniau,Carla,26.93,2693,Abila+Zacharo,loyalty_data.csv
2014-01-06 00:00:00,Anda.Ribera%40gastech.com.kronos,Ribera,Anda,34.03,3403,Hippokampos,loyalty_data.csv
2014-01-06 00:00:00,Ruscella.Mies.Haber%40gastech.com.kronos,Mies Haber,Ruscella,8.64,864,Kalami+Kafenion,loyalty_data.csv
2014-01-06 00:00:00,Linda.Lagos%40gastech.com.kronos,Lagos,Linda,33.54,3354,Katerina%ufffds+Caf%ufffd,loyalty_data.csv
2014-01-06 00:00:00,Rachel.Pantanal%40gastech.com.kronos,Pantanal,Rachel,36.54,3654,Hippokampos,loyalty_data.csv
2014-01-06 00:00:00,Cornelia.Lais%40gastech.com.kronos,Lais,Cornelia,20.74,2074,Ouzeri+Elian,loyalty_data.csv
2014-01-06 00:00:00,Varro.Awelon%40gastech.com.kronos,Awelon,Varro,13.08,1308,Kalami+Kafenion,loyalty_data.csv
2014-01-06 00:00:00,Dante.Coginian%40gastech.com.kronos,Coginian,Dante,38.25,3825,Hippokampos,loyalty_data.csv
2014-01-06 00:00:00,Mat.Bramar%40gastech.com.kronos,Bramar,Mat,30.88,3088,Hippokampos,loyalty_data.csv
2014-01-06 00:00:00,Emile.Arpa%40gastech.com.kronos,Arpa,Emile,27.4,2740,Kalami+Kafenion,loyalty_data.csv
2014-01-06 00:00:00,Linda.Lagos%40gastech.com.kronos,Lagos,Linda,38.65,3865,Katerina%ufffds+Caf%ufffd,loyalty_data.csv
2014-01-06 00:00:00,Emile.Arpa%40gastech.com.kronos,Arpa,Emile,26.46,2646,Katerina%ufffds+Caf%ufffd,loyalty_data.csv
2014-01-06 00:00:00,Dante.Coginian%40gastech.com.kronos,Coginian,Dante,80.85,8085,Frydos+Autosupply+n%27+More,loyalty_data.csv
2014-01-06 00:00:00,Cornelia.Lais%40gastech.com.kronos,Lais,Cornelia,175.87,17587,Frydos+Autosupply+n%27+More,loyalty_data.csv
